Rounds,Value,Type,Pairs,S-Box
1,0.003350,differential_probability_vs_rounds,,1
1,0.003350,differential_probability_vs_sboxes,1,
1,0.003950,differential_probability_vs_rounds,,2
2,0.003950,differential_probability_vs_sboxes,1,
1,0.004250,differential_probability_vs_rounds,,3
3,0.004250,differential_probability_vs_sboxes,1,
1,0.003950,differential_probability_vs_rounds,,4
4,0.003950,differential_probability_vs_sboxes,1,
1,0.003600,differential_probability_vs_rounds,,5
5,0.003600,differential_probability_vs_sboxes,1,
1,0.004100,differential_probability_vs_rounds,,6
6,0.004100,differential_probability_vs_sboxes,1,
1,0.004550,differential_probability_vs_rounds,,7
7,0.004550,differential_probability_vs_sboxes,1,
1,0.003700,differential_probability_vs_rounds,,8
8,0.003700,differential_probability_vs_sboxes,1,
1,0.054000,linear_bias_vs_rounds,1000,
1000,0.054000,linear_bias_vs_pairs,,1
1,0.015200,linear_bias_vs_rounds,5000,
5000,0.015200,linear_bias_vs_pairs,,1
1,0.002200,linear_bias_vs_rounds,10000,
10000,0.002200,linear_bias_vs_pairs,,1
1,0.003000,linear_bias_vs_rounds,20000,
20000,0.003000,linear_bias_vs_pairs,,1
2,0.003700,differential_probability_vs_rounds,,1
1,0.003700,differential_probability_vs_sboxes,2,
2,0.003500,differential_probability_vs_rounds,,2
2,0.003500,differential_probability_vs_sboxes,2,
2,0.003750,differential_probability_vs_rounds,,3
3,0.003750,differential_probability_vs_sboxes,2,
2,0.004050,differential_probability_vs_rounds,,4
4,0.004050,differential_probability_vs_sboxes,2,
2,0.003850,differential_probability_vs_rounds,,5
5,0.003850,differential_probability_vs_sboxes,2,
2,0.004000,differential_probability_vs_rounds,,6
6,0.004000,differential_probability_vs_sboxes,2,
2,0.004700,differential_probability_vs_rounds,,7
7,0.004700,differential_probability_vs_sboxes,2,
2,0.003200,differential_probability_vs_rounds,,8
8,0.003200,differential_probability_vs_sboxes,2,
2,0.008000,linear_bias_vs_rounds,1000,
1000,0.008000,linear_bias_vs_pairs,,2
2,0.006400,linear_bias_vs_rounds,5000,
5000,0.006400,linear_bias_vs_pairs,,2
2,0.006800,linear_bias_vs_rounds,10000,
10000,0.006800,linear_bias_vs_pairs,,2
2,0.004500,linear_bias_vs_rounds,20000,
